term,period,meetingno,temp_meeting_no,billn,billcontent,billresult,url,date
5,5,1,1,1,主席：報告表決結果：在場委員人數六十一人，贊成依照朝野黨團協商結論通過者五十六人，反對者一人，棄權者四人。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第1次會議紀錄.html,093/08/21
5,5,1,1,2,主席：報告表決結果：在場委員人數五十六人，贊成依照朝野黨團協商結論通過者五十五人，反對者零人，棄權者一人。本案不足法定表決人數，所以表決不成。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第1次會議紀錄.html,093/08/21
5,5,1,1,3,主席：報告表決結果：在場委員八十五人，贊成者八十四人，反對者零人，棄權者一人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第1次會議紀錄.html,093/08/21
5,5,3,1,1,主席：報告表決結果：在場委員二百人，贊成者二百人，反對者零人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第3次會議紀錄.html,093/08/23
5,5,3,1,2,主席：報告表決結果：在場委員二百零一人，贊成者二百零一人，反對者零人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第3次會議紀錄.html,093/08/23
5,5,3,1,3,主席：報告表決結果：在場委員二百零一人，贊成者二百人，反對者一人。多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第3次會議紀錄.html,093/08/23
5,5,3,1,4,主席：報告表決結果：在場委員二百零一人，贊成者二百人，反對者零人，棄權者一人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第3次會議紀錄.html,093/08/23
5,5,3,1,5,主席：報告表決結果：出席委員二百零一人，贊成者一百九十八人，反對者二人，棄權者一人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第3次會議紀錄.html,093/08/23
5,5,3,1,6,主席：報告表決結果：出席委員人數二百人，贊成者九十二人，反對者一百零六人，棄權者二人，因贊成者不足出席委員四分之三人數，所以，本案不予通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第3次會議紀錄.html,093/08/23
5,5,3,1,7,主席：報告表決結果：出席委員人數一百九十七人，贊成者九十人，反對者一百零四人，棄權者三人，贊成台聯黨團所提修正動議仍屬少數，所以，本案不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第3次會議紀錄.html,093/08/23
5,5,3,1,8,主席：報告表決結果：出席委員一百九十八人，贊成者一百八十六人，反對者一人，棄權者十一人，本案四分之三的人數是一四九人，所以，本案已超過法定通過人數。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第3次會議紀錄.html,093/08/23
5,5,3,1,9,主席：報告表決結果：在場委員一百九十八人，贊成者一百九十八人，反對者零人，多數，全案依照經過二讀條文通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第3次會議紀錄.html,093/08/23
5,5,4,1,1,主席：報告表決結果：在場委員一百九十八人，贊成者一百零七人，反對者九十人，棄權者一人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,2,主席：報告表決結果：在場委員一百九十八人，贊成者九十一人，反對者一百零五人，棄權者二人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,3,主席：報告表決結果：在場委員人數一百九十六人，贊成者一百零七人，反對者八十九人，多數，通過。名稱依照國民黨黨團、親民黨黨團所提修正動議名稱通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,4,主席：報告表決結果：在場委員一百九十五人，贊成者八十九人，反對者一百零五人，棄權者一人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,5,主席：報告表決結果：在場委員一百九十六人，贊成者九十人，反對者一百零六人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,6,主席：報告表決結果：在場委員一百九十七人，贊成者一百零七人，反對者九十人，多數，通過。第一條照國民黨黨團、親民黨黨團所提修正條文通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,7,主席：報告表決結果：在場委員一百九十一人，贊成者九十人，反對者一百零一人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,8,主席：報告表決結果：在場委員一百九十六人，贊成者九十一人，反對者一百零五人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,9,主席：報告表決結果：在場委員一百九十七人，贊成者八十七人，反對者一百一十人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,10,主席：報告表決結果：在場委員一百九十三人，贊成者八十七人，反對者一百零六人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,11,主席：報告表決結果：在場委員一百九十三人，贊成者一百零六人，反對者八十七人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,12,主席：報告表決結果：在場委員一百九十二人，贊成者一百零六人，反對者八十六人，多數，通過。本條依照國民黨黨團所提再修正動議第三條通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,13,主席：報告表決結果：在場委員一百九十二人，贊成者八十七人，反對者一百零五人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,14,主席：報告表決結果：在場委員一百九十二人，贊成者八十七人，反對者一百零五人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,15,主席：報告表決結果：在場委員一百九十二人，贊成者八十七人，反對者一百零五人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,16,主席：報告表決結果：在場委員一百九十三人，贊成者一百零六人，反對者八十七人，多數，通過。本條照國民黨黨團、親民黨黨團所提修正條文通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,17,主席：報告表決結果：在場委員一百九十一人，贊成者八十七人，反對者一百零四人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,18,主席：報告表決結果：在場委員一百九十三人，贊成者一百零六人，反對者八十七人，多數，通過，本條照國民黨黨團、親民黨黨團所提修正條文通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,19,主席：報告表決結果：在場委員一百九十二人，贊成者八十五人，反對者一百零七人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,20,主席：報告表決結果：在場委員一百八十九人，贊成者一百零三人，反對者八十六人，多數，通過。本條照國民黨黨團、親民黨黨團所提修正條文通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,21,主席：報告表決結果：在場委員一百九十一人，贊成者一百零五人，反對者八十六人，多數，通過。本條照國民黨黨團、親民黨黨團修正條文通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,22,主席：報告表決結果：在場委員一百八十七人，贊成者八十三人，反對者一百零四人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,23,主席：報告表決結果：在場委員一百八十四人，贊成者一百零七人，反對者七十七人，多數，通過。第八條照國民黨黨團所提再修正條文通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,24,主席：報告表決結果：在場委員一百八十一人，贊成者七十九人，反對者一百零二人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,25,主席：報告表決結果：在場委員一百八十一人，贊成者一百零五人，反對者七十六人。多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,26,主席：報告表決結果：在場委員一百八十三人，贊成者七十八人，反對者一百零五人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,27,主席：報告表決結果：在場委員一百八十一人，贊成者一百八十一人，反對者零人，多數，通過。本條照國民黨黨團、親民黨黨團所提修正條文通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,28,主席：報告表決結果：在場委員一百七十八人，贊成者七十五人，反對者一百零三人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,29,主席：報告表決結果：在場委員一百八十一人，贊成者一百零四人，反對者七十七人，多數，通過，本條照國民黨黨團、親民黨黨團所提修正條文通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,30,主席：報告表決結果：在場委員一百八十一人，贊成者七十六人，反對者一百零四人，棄權者一人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,31,主席：報告表決結果：在場委員一百七十一人，贊成者九十五人，反對者七十六人，多數，通過。本條照國民黨黨團、親民黨黨團所提修正條文通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,32,主席：報告表決結果：在場委員一百八十一人，贊成者一百零四人，反對者七十七人，多數，通過。本條照國民黨黨團所提再修正條文通過，以下條次依序調整。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,33,主席：報告表決結果：在場委員一百七十八人，贊成者一百七十八人，反對者零人，多數，通過。本案照國民黨黨團、親民黨黨團所提修正動議第十三條通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,34,主席：報告表決結果：在場委員一百七十七人，贊成者一百零二人，反對者七十五人，多數，通過。本條照國民黨黨團、親民黨黨團所提修正動議第十四條通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,35,主席：報告表決結果：在場委員一百八十二人，贊成者一百零五人，反對者七十七人，多數，通過。本條照國民黨黨團所提再修正條文通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,36,主席：報告表決結果：在場委員一百八十人，贊成者七十七人，反對者一百零三人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,37,主席：報告表決結果：在場委員一百八十二人，贊成者一百零五人，反對者七十七人，多數，通過。本條照國民黨黨團、親民黨黨團所提修正動議第十六條通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,38,主席：報告表決結果：在場委員一百八十二人，贊成者七十八人，反對者一百零四人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,39,主席：報告表決結果：在場委員一百七十九人，贊成者一百七十九人，反對者零人，多數，通過。本條照原草案第十條通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,40,主席：報告表決結果：在場委員一百八十人，贊成者一百八十人，多數通過。本條照國民黨黨團、親民黨黨團所提修正條文通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,41,主席：報告表決結果：在場委員人數一百八十人，贊成全案通過者一百零二人，反對者七十八人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,42,主席：報告表決結果：在場委員一百八十三人，贊成者一百十六人，反對者五十八人，棄權者九人，多數，通過，歲入部分照列。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,5,4,1,43,主席：報告表決結果：在場委員一百八十一人，贊成者一百二十一人，反對者四十五人，棄權者十五人，多數，通過；歲出部分照列。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第5會期第1次臨時會第4次會議紀錄.html,093/08/24
5,6,16,0,1,主席：報告表決結果：在場委員一百七十人，贊成者七十五人，反對者九十四人，棄權者一人。本案作以下決定：「三一九槍擊事件調查報告准予備查。」,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,2,主席：報告表決結果：在場委員人數一百九十一人，贊成者九十一人，反對者一百人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,3,主席：報告表決結果：在場委員人數一百九十三人，贊成者十一人，反對者一百八十一人，棄權者一人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,4,主席：報告表決結果：在場委員人數一百九十三人，贊成者一百零二人，反對者九十一人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,5,主席：報告表決結果：在場委員人數一百九十四人，贊成者一百八十三人，反對者十一人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,6,主席：報告表決結果：在場委員人數一百九十八人，贊成者一百零六人，反對者九十一人，棄權者一人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,7,主席：報告表決結果：在場委員人數一百九十四人，贊成者一百八十三人，反對者十人，棄權者一人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,8,主席：報告表決結果：在場委員人數一百九十五人，贊成者一百零五人，反對者九十人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,9,主席：報告表決結果：在場委員人數一百九十九人，贊成者一百九十一人，反對者七人，棄權者一人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,10,主席：報告表決結果：在場委員人數一百九十六人，贊成者一百零三人，反對者九十二人，棄權者一人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,11,主席：報告表決結果：在場委員人數一百九十四人，贊成者一百八十二人，反對者十一人，棄權者一人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,12,主席：報告表決結果：在場委員人數一百九十七人，贊成者一百零五人，反對者九十二人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,13,主席：報告表決結果：在場委員人數一百九十五人，贊成者一百八十三人，反對者十一人，棄權者一人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,14,主席：報告表決結果：在場委員人數一百九十五人，贊成者一百人，反對者九十三人，棄權者二人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,15,主席：報告表決結果：在場委員人數一百九十七人，贊成者一百八十五人，反對者十一人，棄權者一人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,16,主席：報告表決結果：在場委員人數一百八十一人，贊成者五人，反對者一百五十六人，棄權者二十人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,17,主席：報告表決結果：在場委員人數一百九十八人，贊成者一百零八人，反對者九十人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,18,主席：報告表決結果：在場委員人數一百九十七人，贊成者一百八十六人，反對者十一人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,19,主席：報告表決結果：在場委員人數一百九十七人，贊成者一百零五人，反對者九十二人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,20,主席：報告表決結果：在場委員人數一百九十七人，贊成者一百八十五人，反對者十一人，棄權者一人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,21,主席：報告表決結果：在場委員人數一百八十六人，贊成者八十七人，反對者九十五人，棄權者四人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,22,主席：報告表決結果：在場委員人數一百九十三人，贊成者九十一人，反對者九十五人，棄權者七人，贊成與反對者均未過半數，因此本案須重新表決。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,23,主席：報告表決結果：在場委員一百九十八人，贊成者一百人，反對者九十人，棄權者八人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,24,主席：報告表決結果：在場委員人數一百九十四人，贊成者一百九十三人，反對者一人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,25,主席：報告表決結果：在場委員人數一百九十四人，贊成者四十人，反對者一百四十七人，棄權者七人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,26,主席：報告表決結果，在場委員人數一百九十六人，贊成者六十八人，反對者一百二十六人，棄權者二人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,27,主席：報告表決結果：在場委員人數一百九十四人，贊成者一百一十五人，反對者七十九人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,28,主席：報告表決結果：在場委員人數一百九十六人，贊成者一百九十六人，反對者零人，多數，通過。,Passed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
5,6,16,0,29,主席：報告表決結果：在場委員人數一百九十四人，贊成者九十一人，反對者一百零三人，少數，不通過。,NotPassed,/mnt/e/Software/scripts/R/vote_record/2004_meeting/original/立法院第5屆第6會期第16次會議紀錄.html,"094/01/20,094/01/21"
